fid,dc
30673,165
30674,305
30675,782
30676,4917
30682,1529
30683,165
30684,305
30685,782
30686,4917
30692,1529
30693,165
30694,305
30695,782
30696,4917
30702,1529
30703,165
30704,305
30705,782
30706,4917
30712,1529
30713,165
30714,305
30715,782
30716,4917
30722,1529
30723,165
30724,305
30725,782
30726,4917
30732,1529
30733,165
30734,305
30735,782
30736,4917
30742,1529
30743,165
30744,305
30745,782
30746,4917
30753,165
30754,305
30755,782
30756,4917
30762,1529
30763,165
30764,305
30765,782
30766,4917
30772,1529
30773,165
30774,305
30775,782
30776,4917
30782,1529
30783,165
30784,305
30785,782
30786,4917
30792,1529
30793,165
30794,305
30795,782
30796,4917
30802,1529
30803,165
30804,305
30805,782
30806,4917
30812,1529
30813,165
30814,305
30815,782
30816,4917
30822,1529
30823,165
30824,305
30825,782
30826,4917
30832,1529
30833,165
30834,305
30835,782
30836,4917
30842,1529
30843,165
30844,305
30845,782
30846,4917
30852,1529
30853,165
30854,305
30855,782
30856,4917
30862,1529
30863,165
30864,305
30865,782
30866,4917
30872,1529
30873,165
30874,305
30875,782
30876,4917
30882,1529
30883,165
30884,305
30885,782
30886,4917
30892,1529
30893,165
30894,305
30895,782
30896,4917
40001,19
40002,19
40006,19
40011,38
40012,39
40013,87
40018,261
40019,262
40020,1970
40021,1970
40022,1970
40063,275
41001,1400
41200,240
41201,19
41202,19
41203,87
41204,19
41205,87
41210,240
41214,227
41215,230
41216,231
41217,228
41218,229
41219,212
41220,212
41221,216
41222,220
41223,217
41224,217
41226,224
41227,219
41228,225
41229,239
41230,239
41231,238
41232,201
41244,271
41245,270
41246,269
41247,266
41248,267
41249,264
41250,268
41251,265
41253,263
41256,259
41258,259
41266,221
41270,19
41271,87
41272,240
41273,259
41277,215
41278,213
42001,300
42003,300
42005,300
42007,300
42009,300
42011,300
42013,300
42015,300
42017,300
42019,300
42021,300
42023,300
42025,300
42027,300
42029,300
42031,300
42033,300
42035,300
42037,300
90002,93
90015,7
90016,7
90017,7
90018,7
90026,777
100010,100014
100020,100010
100026,7
100150,100006
100160,100006
100170,100006
100180,100006
100190,100006
100200,100006
100210,100006
100220,100006
100230,100006
100240,100010
100250,100006
100260,100009
100270,100006
100280,100009
100290,100006
100300,100006
100310,100006
100320,100009
100330,100006
100350,100009
100360,100009
100370,100002
100380,100002
100390,100010
100400,100007
100410,100007
100420,100007
100430,100007
100440,100007
100460,100009
100470,100009
100480,100009
100490,100002
100500,100002
100510,100010
100520,100006
100530,100006
100540,100006
100550,100006
100560,100006
100580,100010
100590,100006
100630,100006
100670,100006
100710,100006
100720,100006
100730,100006
100740,100006
100760,100010
100770,100001
100800,100001
100810,100001
100820,100001
100830,100001
100840,100001
100850,100001
100860,100001
100880,100009
100890,100009
100900,100002
100910,100002
100920,100015
100940,100010
100950,100006
101020,100006
101090,100006
101160,100006
101230,100006
101240,100006
101250,100006
101260,100006
101270,100006
101300,100010
101310,100006
101350,100006
101390,100006
101430,100006
101470,100006
101510,100006
101550,100006
101970,100004
101980,100004
101990,100004
102000,100004
102010,100004
102020,100004
102030,100004
102040,100004
102050,100004
102060,100004
102070,100004
102080,100010
102090,100003
102120,100003
102130,100010
102140,100003
102150,100003
102170,100003
102180,100003
102190,100003
102200,100003
102210,100003
102220,100003
102230,100003
102250,100010
102260,100005
102270,100005
102280,100005
102290,100005
102300,100005
102310,100005
102320,100005
102330,100005
102340,100005
102350,100005
102360,100005
102370,100005
102380,100005
102400,100010
102410,100003
102420,100003
102430,100003
102440,100003
102450,100003
102460,100003
102470,100003
102480,100003
102490,100003
102500,100003
102520,100010
102530,100004
102540,100004
102620,100004
102700,100010
102710,100001
102720,100001
102730,100001
102740,100001
102750,100001
102760,100001
102770,100001
102780,100001
102800,100010
102810,100003
102820,100003
102830,100003
102840,100003
102850,100003
102860,100003
102870,100003
102880,100003
102890,100003
102900,100003
102910,100003
102930,100010
102940,100003
102950,100003
102960,100003
102970,100003
102980,100003
103000,100010
103010,100016
103020,100016
103030,100016
103040,100016
103050,100016
103060,100016
103070,100016
103080,100016
103090,100016
103100,100016
103120,100008
103130,100008
103140,100010
103150,100004
103160,100004
103170,100004
103180,100004
103190,100004
103200,100004
103210,100004
103220,100004
103230,100004
103250,100010
103260,100004
103270,100004
103280,100004
103290,100004
103310,100010
103980,100010
103990,100010
104000,100017
104010,100017
104020,100017
104030,100017
104040,100013
104050,100017
104060,100017
104070,100017
104080,100017
104090,100017
104100,100017
104110,100017
104120,100017
104130,100017
104140,100017
104150,100017
104160,100017
104170,100017
104180,100017
104190,100017
104200,100017
104210,100017
104220,100017
104230,100017
104240,100017
104250,100017
104260,100017
104270,100017
104280,100017
104290,100017
104300,100017
104310,100017
104320,100017
104330,100017
104340,100017
104350,100017
104360,100017
104370,100017
104380,100017
104400,100010
104410,100004
104420,100004
104430,100004
104440,100004
104450,100004
104460,100004
104470,100004
104480,100004
104490,100004
104500,100004
104510,100004
104520,100004
104530,100004
104540,100004
104550,100004
104560,100004
104570,100004
104580,100004
104590,100004
104660,100010
104670,100010
104900,100011
104910,100011
104920,100012
110001,100693
110005,100693
120000,502
120001,502
120002,502
120003,502
120004,502
120005,502
120007,502
120008,502
120009,502
120010,502
120011,502
120012,502
120013,502
120014,502
120016,502
120017,502
120018,502
120019,502
120020,3013
120021,502
120032,502
120036,1021
120037,3008
120038,502
120039,3022
120040,3003
120041,3003
120042,3003
120043,1021
120044,1021
120045,1021
120046,502
120047,502
120048,502
120049,502
120050,502
120051,502
120052,502
120053,1021
120058,3002
120059,3002
120060,3002
120061,3002
120062,3002
120063,3002
120064,3002
120065,1021
120066,1021
120067,1021
120068,1021
120069,1021
120071,502
120072,502
120073,502
120074,502
120075,502
120076,502
120077,502
120078,502
120079,502
120080,502
120081,502
120082,502
120083,502
120084,502
120085,502
120090,3015
120098,3004
120099,3019
120100,3020
120101,3021
120102,3005
120104,3006
120105,3006
120106,3006
120107,3006
120108,3006
120109,3006
120110,3006
120111,3006
120112,3006
120113,3012
120114,502
120115,502
120116,502
120117,502
120118,502
130001,2171
130003,2171
130005,2171
130007,2171
130009,2171
130011,2171
130013,2171
130015,2171
130017,2171
130019,2171
130021,2171
130023,2171
130025,2171
130027,2171
130029,2171
130031,2171
130035,2171
130037,2171
130039,2171
130041,2171
130043,2171
130045,2171
130047,2171
130049,2171
130051,2171
130053,2171
130055,2171
130059,2171
130061,2171
130063,2171
130065,2171
130067,2171
130069,2171
130071,2171
130073,2171
130075,2171
130077,2171
130079,2171
130081,2171
130083,2171
130085,2171
130087,2171
130089,2171
130091,2171
130093,2171
130095,2171
130097,2171
130101,2171
130103,2171
130105,2171
130107,2171
130109,2171
130113,2171
130115,2171
130117,2171
130119,2171
130121,2171
130123,2171
130125,2171
130127,2171
130129,2171
130131,2171
130133,2171
130135,2171
130137,2171
130139,2171
130141,2171
130143,2171
130145,2171
130147,2171
130149,2171
130151,2171
130153,2171
130155,2171
130157,2171
130159,2171
130161,2171
130163,2171
130165,2171
130169,2171
130171,2171
130175,2171
130177,2171
130179,2171
130181,2171
130185,2171
130187,2171
130189,2171
130191,2171
130193,2171
130195,2171
130197,2171
130199,2171
130201,2171
130203,2171
130205,2171
130207,2171
130209,2171
130211,2171
130213,2171
130215,2171
130217,2171
130219,2171
130221,2171
130223,2171
130225,2171
130227,2171
130229,2171
130231,2171
130233,2171
130235,2171
130237,2171
130241,2171
130243,2171
130245,2171
130247,2171
130249,2171
130251,2171
130253,2171
130255,2171
130257,2171
130259,2171
